1000.00
Watermelon,4.30,100
Apples,1.84,200
Bananas,1.29,200
Oranges,1.89,200
Tomatoes,2.29,200
Beansprouts,0.79,80
Carrots,1.49,60
Chillies,0.59,200
Garlic,0.99,100
Lemon,0.49,150
Onions,1.39,75
Peppers,1.29,40
Potatoes,3.50,300
Mushrooms,0.95,150
Cucumber,0.69,100
Cabbage,0.59,50
Cauliflower,2.29,200
Toothpaste,3.99,100
Soap,1.49,100
Shampoo,2.99,100
Toothbrush,0.99,100
Deodorant,2.99,100
Chicken,3.99,100
Beef,4.99,100
Pork,3.99,100
Fish,5.99,100
Tea,1.99,100
Coffee,2.99,100
Coca Cola,2.40,100
Orange Juice,3.00,100
Apple Juice,2.50,100
Rice,1.99,100
Noodles,2.99,100
Pasta,3.99,100
Muesli,4.40,100
Corn Flakes,3.99,100
Rice Krispies,2.00,150
Chocolate,3.99,100
Ice cream,4.99,100
